# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.09219163249190414,0,3.0,0.23748019778253718,0.0,0.0,0.0
 0.09057413505370879,1.0123054949814019,3.00001980014339,0.09219163249190414,0.2717224051611264,3.0000000000000004,0.23748019778253718,0.0,4.389267256591618,0.0
 0.12966266148132968,1.0252184559151114,3.0000792454918126,0.2637616216490767,0.3889879844439891,3.0,0.2068336481066317,0.0,5.0463781307249125,0.0
 0.16069456180412636,1.0387335967853841,3.0001784034226473,0.42036032479287316,0.4820836854123791,3.0,0.18157934417505045,0.0,5.321865136203392,0.0
 0.18769981710269204,1.0528456315764754,3.0003173413132713,0.5640786514605818,0.5630994513080761,3.0,0.16057062842314287,0.0,5.407716891123387,0.0
 0.21221304014828848,1.0675492742726411,3.000496126541065,0.6966392217801287,0.6366391204448655,3.0,0.14294261649543977,0.0,5.3887005081893555,0.0
 0.2350079292361755,1.0828392388581365,3.000714826483405,0.8194740521921455,0.7050237877085265,2.999999999999998,0.12803446992546721,0.0,5.309742248196852,0.0
 0.25653615555318465,1.0987102393172177,3.000973508517673,0.9337833849963123,0.7696084666595538,2.999999999999996,0.11533526002940013,0.0,5.196785111921442,0.0
 0.2770868236560559,1.11515698963414,3.0012722400212457,1.0405807910333527,0.8312604709681676,2.9999999999999973,0.1044456605967129,0.0,5.065539126106733,0.0
 0.29685714766568916,1.1321742037931586,3.001611088371502,1.1407281408399572,0.8905714429970673,2.9999999999999973,0.09505044398452994,0.0,4.925778009516388,0.0
 0.3159881075717989,1.1497565957785296,3.001990120945822,1.2349630024464122,0.9479643227153965,3.000000000000003,0.08689846888204672,0.0,4.783662677456464,0.0
 0.3345841741155945,1.1678988795745084,3.002409405121583,1.323920311919464,1.0037525223467834,3.000000000000003,0.07978793772139622,0.0,4.643081786800827,0.0
 0.35272500339169444,1.1865957691653508,3.0028690082761647,1.4081496659287869,1.058175010175083,2.999999999999994,0.07355541267200345,0.0,4.50646165776594,0.0
 0.370472756365874,1.205841978535312,3.003368997786945,1.4881292342184285,1.1114182690976218,2.999999999999997,0.06806754304898922,0.0,4.375272627031137,0.0
 0.3878768841940965,1.2256322216686477,3.0039094410313036,1.5642770383026012,1.1636306525822893,3.000000000000003,0.06321477464985067,0.0,4.25035395406619,0.0
 0.40497737102181575,1.245961212549614,3.0044904053866186,1.6369601601072545,1.2149321130654471,3.0000000000000067,0.058906521189148985,0.0,4.132126533253187,0.0
 0.42180699855726966,1.2668236651624656,3.005111958230269,1.7065023105912722,1.2654209956718088,2.9999999999999933,0.05506742602014215,0.0,4.0207343267711195,0.0
 0.43839296847623305,1.2882142934914584,3.005774166939634,1.7731900891872414,1.3151789054286989,2.9999999999999964,0.05163444419679139,0.0,3.916139519069388,0.0
 0.45475809064595657,1.3101278115208486,3.0064770988920917,1.8372781908504943,1.3642742719378695,3.0000000000000067,0.04855454837578426,0.0,3.818187076858541,0.0
 0.4709216702105831,1.332558933234891,3.0072208214650207,1.8989937614599262,1.4127650106317493,3.0000000000000067,0.04578291162390067,0.0,3.7266487914893114,0.0
 0.48690018111025263,1.3555023726178415,3.0080054020358005,1.9585400597939784,1.4607005433307578,3.0,0.04328145804324316,0.0,3.641253387093646,0.0
 0.5027077851389417,1.3789528436539558,3.0088309079818094,2.0160995515052775,1.508123355416825,3.0000000000000036,0.04101770004037725,0.0,3.5617070825554578,0.0
 0.5183567373255463,1.4029050603274893,3.0096974066804267,2.071836535342879,1.5550702119766389,2.999999999999993,0.03896379946109708,0.0,3.4877075532492645,0.0
 0.5338577063407812,1.4273537366226976,3.0106049655090303,2.1258993820599965,1.6015731190223437,3.000000000000007,0.037095805503995376,0.0,3.418953313025463,0.0
 0.5492200304893083,1.4522935865238364,3.011553651845,2.1784224511033745,1.6476600914679251,3.000000000000007,0.0353930322455071,0.0,3.3551498973250053,0.0
 0.5644519242497108,1.477719324015161,3.0125435330657138,2.2295277378896543,1.6933557727491326,3.000000000000007,0.03383754840984727,0.0,3.2960138178924847,0.0
 0.579560646409753,1.503625663080927,3.0135746765485507,2.279326294899852,1.7386819392292594,3.0000000000000075,0.03241375584251783,0.0,3.2412749571162394,0.0
 0.59455263806132,1.5300073177053906,3.0146471496708895,2.3279194619973715,1.7836579141839604,3.0000000000000075,0.031108041262776095,0.0,3.190677880515953,0.0
 0.6094336367120559,1.5568590018728068,3.015761019810109,2.375399935232262,1.828300910136168,3.0,0.029908485735409,0.0,3.143982400554221,0.0
 0.6242087713033355,1.584175429567431,3.016916354343588,2.421852698353065,1.872626313910007,3.0,0.0288046224303657,0.0,3.1009636298730956,0.0
 0.6388826418382909,1.6119513147735198,3.0181132206487047,2.4673558371914286,1.9166479255148732,3.0,0.027787232851569886,0.0,3.0614116927817516,0.0
 0.65345938651085,1.6401813714753277,3.0193516861028384,2.511981253774695,1.9603781595325502,2.999999999999985,0.02684817575942679,0.0,3.0251312132692996,0.0
 0.6679427386120211,1.6688603136571107,3.020631818083368,2.555795294288717,2.0038282158360636,3.0,0.02598024214095191,0.0,2.9919406665956014,0.0
 0.6823360750201511,1.6979828553031244,3.021953683967672,2.5988593028161926,2.0470082250604538,3.0000000000000075,0.02517703240799903,0.0,2.961671651775013,0.0
